timesteps,ep_rew_mean,ep_len_mean
51,-7.5,50.0
52,-7.5,50.0
53,-7.5,50.0
54,-7.5,50.0
55,-7.5,50.0
56,-7.5,50.0
57,-7.5,50.0
58,-7.5,50.0
59,-7.5,50.0
60,-7.5,50.0
61,-7.5,50.0
62,-7.5,50.0
63,-7.5,50.0
64,-7.5,50.0
65,-7.5,50.0
66,-7.5,50.0
67,-7.5,50.0
68,-7.5,50.0
69,-7.5,50.0
70,-7.5,50.0
71,-7.5,50.0
72,-7.5,50.0
73,-7.5,50.0
74,-7.5,50.0
75,-7.5,50.0
76,-7.5,50.0
77,-7.5,50.0
78,-7.5,50.0
79,-7.5,50.0
80,-7.5,50.0
81,-7.5,50.0
82,-7.5,50.0
83,-7.5,50.0
84,-7.5,50.0
85,-7.5,50.0
86,-7.5,50.0
87,-7.5,50.0
88,-7.5,50.0
89,-7.5,50.0
90,-7.5,50.0
91,-7.5,50.0
92,-7.5,50.0
93,-7.5,50.0
94,-7.5,50.0
95,-7.5,50.0
96,-7.5,50.0
97,-7.5,50.0
98,-7.5,50.0
99,-7.5,50.0
100,-7.5,50.0
101,-7.2,50.0
102,-7.2,50.0
103,-7.2,50.0
104,-7.2,50.0
105,-7.2,50.0
106,-7.2,50.0
107,-7.2,50.0
108,-7.2,50.0
109,-7.2,50.0
110,-7.2,50.0
111,-7.2,50.0
112,-7.2,50.0
113,-7.2,50.0
114,-7.2,50.0
115,-7.2,50.0
116,-7.2,50.0
117,-7.2,50.0
118,-7.2,50.0
119,-7.2,50.0
120,-7.2,50.0
121,-7.2,50.0
122,-7.2,50.0
123,-7.2,50.0
124,-7.2,50.0
125,-7.2,50.0
126,-7.2,50.0
127,-7.2,50.0
128,-7.2,50.0
129,-7.2,50.0
130,-7.2,50.0
131,-7.2,50.0
132,-7.2,50.0
133,-7.2,50.0
134,-7.2,50.0
135,-7.2,50.0
136,-7.2,50.0
137,-7.2,50.0
138,-7.2,50.0
139,-7.2,50.0
140,-7.2,50.0
141,-7.2,50.0
142,-7.2,50.0
143,-7.2,50.0
144,-7.2,50.0
145,-7.2,50.0
146,-7.2,50.0
147,-7.2,50.0
148,-7.2,50.0
149,-7.2,50.0
150,-7.2,50.0
151,-7.5,50.0
152,-7.5,50.0
153,-7.5,50.0
154,-7.5,50.0
155,-7.5,50.0
156,-7.5,50.0
157,-7.5,50.0
158,-7.5,50.0
159,-7.5,50.0
160,-7.5,50.0
161,-7.5,50.0
162,-7.5,50.0
163,-7.5,50.0
164,-7.5,50.0
165,-7.5,50.0
166,-7.5,50.0
167,-7.5,50.0
168,-7.5,50.0
169,-7.5,50.0
170,-7.5,50.0
171,-7.5,50.0
172,-7.5,50.0
173,-7.5,50.0
174,-7.5,50.0
175,-7.5,50.0
176,-7.5,50.0
177,-7.5,50.0
178,-7.5,50.0
179,-7.5,50.0
180,-7.5,50.0
181,-7.5,50.0
182,-7.5,50.0
183,-7.5,50.0
184,-7.5,50.0
185,-7.5,50.0
186,-7.5,50.0
187,-7.5,50.0
188,-7.5,50.0
189,-7.5,50.0
190,-7.5,50.0
191,-7.5,50.0
192,-7.5,50.0
193,-7.5,50.0
194,-7.5,50.0
195,-7.5,50.0
196,-7.5,50.0
197,-7.5,50.0
198,-7.5,50.0
199,-7.5,50.0
200,-7.5,50.0
201,-6.9,50.0
202,-6.9,50.0
203,-6.9,50.0
204,-6.9,50.0
205,-6.9,50.0
206,-6.9,50.0
207,-6.9,50.0
208,-6.9,50.0
209,-6.9,50.0
210,-6.9,50.0
211,-6.9,50.0
212,-6.9,50.0
213,-6.9,50.0
214,-6.9,50.0
215,-6.9,50.0
216,-6.9,50.0
217,-6.9,50.0
218,-6.9,50.0
219,-6.9,50.0
220,-6.9,50.0
221,-6.9,50.0
222,-6.9,50.0
223,-6.9,50.0
224,-6.9,50.0
225,-6.9,50.0
226,-6.9,50.0
227,-6.9,50.0
228,-6.9,50.0
229,-6.9,50.0
230,-6.9,50.0
231,-6.9,50.0
232,-6.9,50.0
233,-6.9,50.0
234,-6.9,50.0
235,-6.9,50.0
236,-6.9,50.0
237,-6.9,50.0
238,-6.9,50.0
239,-6.9,50.0
240,-6.9,50.0
241,-6.9,50.0
242,-6.9,50.0
243,-6.9,50.0
244,-6.9,50.0
245,-6.9,50.0
246,-6.9,50.0
247,-6.9,50.0
248,-6.9,50.0
249,-6.9,50.0
250,-6.9,50.0
251,-6.660000000000001,50.0
252,-6.660000000000001,50.0
253,-6.660000000000001,50.0
254,-6.660000000000001,50.0
255,-6.660000000000001,50.0
256,-6.660000000000001,50.0
257,-6.660000000000001,50.0
258,-6.660000000000001,50.0
259,-6.660000000000001,50.0
260,-6.660000000000001,50.0
261,-6.660000000000001,50.0
262,-6.660000000000001,50.0
263,-6.660000000000001,50.0
264,-6.660000000000001,50.0
265,-6.660000000000001,50.0
266,-6.660000000000001,50.0
267,-6.660000000000001,50.0
268,-6.660000000000001,50.0
269,-6.660000000000001,50.0
270,-6.660000000000001,50.0
271,-6.660000000000001,50.0
272,-6.660000000000001,50.0
273,-6.660000000000001,50.0
274,-6.660000000000001,50.0
275,-6.660000000000001,50.0
276,-6.660000000000001,50.0
277,-6.660000000000001,50.0
278,-6.660000000000001,50.0
279,-6.660000000000001,50.0
280,-6.660000000000001,50.0
281,-6.660000000000001,50.0
282,-6.660000000000001,50.0
283,-6.660000000000001,50.0
284,-6.660000000000001,50.0
285,-6.660000000000001,50.0
286,-6.660000000000001,50.0
287,-6.660000000000001,50.0
288,-6.660000000000001,50.0
289,-6.660000000000001,50.0
290,-6.660000000000001,50.0
291,-6.660000000000001,50.0
292,-6.660000000000001,50.0
293,-6.660000000000001,50.0
294,-6.660000000000001,50.0
295,-6.660000000000001,50.0
296,-6.660000000000001,50.0
297,-6.660000000000001,50.0
298,-6.660000000000001,50.0
299,-6.660000000000001,50.0
300,-6.660000000000001,50.0
301,-6.500000000000001,50.0
302,-6.500000000000001,50.0
303,-6.500000000000001,50.0
304,-6.500000000000001,50.0
305,-6.500000000000001,50.0
306,-6.500000000000001,50.0
307,-6.500000000000001,50.0
308,-6.500000000000001,50.0
309,-6.500000000000001,50.0
310,-6.500000000000001,50.0
311,-6.500000000000001,50.0
312,-6.500000000000001,50.0
313,-6.500000000000001,50.0
314,-6.500000000000001,50.0
315,-6.500000000000001,50.0
316,-6.500000000000001,50.0
317,-6.500000000000001,50.0
318,-6.500000000000001,50.0
319,-6.500000000000001,50.0
320,-6.500000000000001,50.0
321,-6.500000000000001,50.0
322,-6.500000000000001,50.0
323,-6.500000000000001,50.0
324,-6.500000000000001,50.0
325,-6.500000000000001,50.0
326,-6.500000000000001,50.0
327,-6.500000000000001,50.0
328,-6.500000000000001,50.0
329,-6.500000000000001,50.0
330,-6.500000000000001,50.0
331,-6.500000000000001,50.0
332,-6.500000000000001,50.0
333,-6.500000000000001,50.0
334,-6.500000000000001,50.0
335,-6.500000000000001,50.0
336,-6.500000000000001,50.0
337,-6.500000000000001,50.0
338,-6.500000000000001,50.0
339,-6.500000000000001,50.0
340,-6.500000000000001,50.0
341,-6.500000000000001,50.0
342,-6.500000000000001,50.0
343,-6.500000000000001,50.0
344,-6.500000000000001,50.0
345,-6.500000000000001,50.0
346,-6.500000000000001,50.0
347,-6.500000000000001,50.0
348,-6.500000000000001,50.0
349,-6.500000000000001,50.0
350,-6.500000000000001,50.0
351,-6.642857142857144,50.0
352,-6.642857142857144,50.0
353,-6.642857142857144,50.0
354,-6.642857142857144,50.0
355,-6.642857142857144,50.0
356,-6.642857142857144,50.0
357,-6.642857142857144,50.0
358,-6.642857142857144,50.0
359,-6.642857142857144,50.0
360,-6.642857142857144,50.0
361,-6.642857142857144,50.0
362,-6.642857142857144,50.0
363,-6.642857142857144,50.0
364,-6.642857142857144,50.0
365,-6.642857142857144,50.0
366,-6.642857142857144,50.0
367,-6.642857142857144,50.0
368,-6.642857142857144,50.0
369,-6.642857142857144,50.0
370,-6.642857142857144,50.0
371,-6.642857142857144,50.0
372,-6.642857142857144,50.0
373,-6.642857142857144,50.0
374,-6.642857142857144,50.0
375,-6.642857142857144,50.0
376,-6.642857142857144,50.0
377,-6.642857142857144,50.0
378,-6.642857142857144,50.0
379,-6.642857142857144,50.0
380,-6.642857142857144,50.0
381,-6.642857142857144,50.0
382,-6.642857142857144,50.0
383,-6.642857142857144,50.0
384,-6.642857142857144,50.0
385,-6.642857142857144,50.0
386,-6.642857142857144,50.0
387,-6.642857142857144,50.0
388,-6.642857142857144,50.0
389,-6.642857142857144,50.0
390,-6.642857142857144,50.0
391,-6.642857142857144,50.0
392,-6.642857142857144,50.0
393,-6.642857142857144,50.0
394,-6.642857142857144,50.0
395,-6.642857142857144,50.0
396,-6.642857142857144,50.0
397,-6.642857142857144,50.0
398,-6.642857142857144,50.0
399,-6.642857142857144,50.0
400,-6.642857142857144,50.0
401,-6.675000000000001,50.0
402,-6.675000000000001,50.0
403,-6.675000000000001,50.0
404,-6.675000000000001,50.0
405,-6.675000000000001,50.0
406,-6.675000000000001,50.0
407,-6.675000000000001,50.0
408,-6.675000000000001,50.0
409,-6.675000000000001,50.0
410,-6.675000000000001,50.0
411,-6.675000000000001,50.0
412,-6.675000000000001,50.0
413,-6.675000000000001,50.0
414,-6.675000000000001,50.0
415,-6.675000000000001,50.0
416,-6.675000000000001,50.0
417,-6.675000000000001,50.0
418,-6.675000000000001,50.0
419,-6.675000000000001,50.0
420,-6.675000000000001,50.0
421,-6.675000000000001,50.0
422,-6.675000000000001,50.0
423,-6.675000000000001,50.0
424,-6.675000000000001,50.0
425,-6.675000000000001,50.0
426,-6.675000000000001,50.0
427,-6.675000000000001,50.0
428,-6.675000000000001,50.0
429,-6.675000000000001,50.0
430,-6.675000000000001,50.0
431,-6.675000000000001,50.0
432,-6.675000000000001,50.0
433,-6.675000000000001,50.0
434,-6.675000000000001,50.0
435,-6.675000000000001,50.0
436,-6.675000000000001,50.0
437,-6.675000000000001,50.0
438,-6.675000000000001,50.0
439,-6.675000000000001,50.0
440,-6.675000000000001,50.0
441,-6.675000000000001,50.0
442,-6.675000000000001,50.0
443,-6.675000000000001,50.0
444,-6.675000000000001,50.0
445,-6.675000000000001,50.0
446,-6.675000000000001,50.0
447,-6.675000000000001,50.0
448,-6.675000000000001,50.0
449,-6.675000000000001,50.0
450,-6.675000000000001,50.0
451,-6.833333333333334,50.0
452,-6.833333333333334,50.0
453,-6.833333333333334,50.0
454,-6.833333333333334,50.0
455,-6.833333333333334,50.0
456,-6.833333333333334,50.0
457,-6.833333333333334,50.0
458,-6.833333333333334,50.0
459,-6.833333333333334,50.0
460,-6.833333333333334,50.0
461,-6.833333333333334,50.0
462,-6.833333333333334,50.0
463,-6.833333333333334,50.0
464,-6.833333333333334,50.0
465,-6.833333333333334,50.0
466,-6.833333333333334,50.0
467,-6.833333333333334,50.0
468,-6.833333333333334,50.0
469,-6.833333333333334,50.0
470,-6.833333333333334,50.0
471,-6.833333333333334,50.0
472,-6.833333333333334,50.0
473,-6.833333333333334,50.0
474,-6.833333333333334,50.0
475,-6.833333333333334,50.0
476,-6.833333333333334,50.0
477,-6.833333333333334,50.0
478,-6.833333333333334,50.0
479,-6.833333333333334,50.0
480,-6.833333333333334,50.0
481,-6.833333333333334,50.0
482,-6.833333333333334,50.0
483,-6.833333333333334,50.0
484,-6.833333333333334,50.0
485,-6.833333333333334,50.0
486,-6.833333333333334,50.0
487,-6.833333333333334,50.0
488,-6.833333333333334,50.0
489,-6.833333333333334,50.0
490,-6.833333333333334,50.0
491,-6.833333333333334,50.0
492,-6.833333333333334,50.0
493,-6.833333333333334,50.0
494,-6.833333333333334,50.0
495,-6.833333333333334,50.0
496,-6.833333333333334,50.0
497,-6.833333333333334,50.0
498,-6.833333333333334,50.0
499,-6.833333333333334,50.0
500,-6.833333333333334,50.0
501,-6.780000000000001,50.0
502,-6.780000000000001,50.0
503,-6.780000000000001,50.0
504,-6.780000000000001,50.0
505,-6.780000000000001,50.0
506,-6.780000000000001,50.0
507,-6.780000000000001,50.0
508,-6.780000000000001,50.0
509,-6.780000000000001,50.0
510,-6.780000000000001,50.0
511,-6.780000000000001,50.0
512,-6.780000000000001,50.0
513,-6.780000000000001,50.0
514,-6.780000000000001,50.0
515,-6.780000000000001,50.0
516,-6.780000000000001,50.0
517,-6.780000000000001,50.0
518,-6.780000000000001,50.0
519,-6.780000000000001,50.0
520,-6.780000000000001,50.0
521,-6.780000000000001,50.0
522,-6.780000000000001,50.0
523,-6.780000000000001,50.0
524,-6.780000000000001,50.0
525,-6.780000000000001,50.0
526,-6.780000000000001,50.0
527,-6.780000000000001,50.0
528,-6.780000000000001,50.0
529,-6.780000000000001,50.0
530,-6.780000000000001,50.0
531,-6.780000000000001,50.0
532,-6.780000000000001,50.0
533,-6.780000000000001,50.0
534,-6.780000000000001,50.0
535,-6.780000000000001,50.0
536,-6.780000000000001,50.0
537,-6.780000000000001,50.0
538,-6.780000000000001,50.0
539,-6.780000000000001,50.0
540,-6.780000000000001,50.0
541,-6.780000000000001,50.0
542,-6.780000000000001,50.0
543,-6.780000000000001,50.0
544,-6.780000000000001,50.0
545,-6.780000000000001,50.0
546,-6.780000000000001,50.0
547,-6.780000000000001,50.0
548,-6.780000000000001,50.0
549,-6.780000000000001,50.0
550,-6.780000000000001,50.0
551,-6.954545454545456,50.0
552,-6.954545454545456,50.0
553,-6.954545454545456,50.0
554,-6.954545454545456,50.0
555,-6.954545454545456,50.0
556,-6.954545454545456,50.0
557,-6.954545454545456,50.0
