timesteps,ep_rew_mean,ep_len_mean
51,-8.1,50.0
52,-8.1,50.0
53,-8.1,50.0
54,-8.1,50.0
55,-8.1,50.0
56,-8.1,50.0
57,-8.1,50.0
58,-8.1,50.0
59,-8.1,50.0
60,-8.1,50.0
61,-8.1,50.0
62,-8.1,50.0
63,-8.1,50.0
64,-8.1,50.0
65,-8.1,50.0
66,-8.1,50.0
67,-8.1,50.0
68,-8.1,50.0
69,-8.1,50.0
70,-8.1,50.0
71,-8.1,50.0
72,-8.1,50.0
73,-8.1,50.0
74,-8.1,50.0
75,-8.1,50.0
76,-8.1,50.0
77,-8.1,50.0
78,-8.1,50.0
79,-8.1,50.0
80,-8.1,50.0
81,-8.1,50.0
82,-8.1,50.0
83,-8.1,50.0
84,-8.1,50.0
85,-8.1,50.0
86,-8.1,50.0
87,-8.1,50.0
88,-8.1,50.0
89,-8.1,50.0
90,-8.1,50.0
91,-8.1,50.0
92,-8.1,50.0
93,-8.1,50.0
94,-8.1,50.0
95,-8.1,50.0
96,-8.1,50.0
97,-8.1,50.0
98,-8.1,50.0
99,-8.1,50.0
100,-8.1,50.0
101,-7.199999999999999,50.0
102,-7.199999999999999,50.0
103,-7.199999999999999,50.0
104,-7.199999999999999,50.0
105,-7.199999999999999,50.0
106,-7.199999999999999,50.0
107,-7.199999999999999,50.0
108,-7.199999999999999,50.0
109,-7.199999999999999,50.0
110,-7.199999999999999,50.0
111,-7.199999999999999,50.0
112,-7.199999999999999,50.0
113,-7.199999999999999,50.0
114,-7.199999999999999,50.0
115,-7.199999999999999,50.0
116,-7.199999999999999,50.0
117,-7.199999999999999,50.0
118,-7.199999999999999,50.0
119,-7.199999999999999,50.0
120,-7.199999999999999,50.0
121,-7.199999999999999,50.0
122,-7.199999999999999,50.0
123,-7.199999999999999,50.0
124,-7.199999999999999,50.0
125,-7.199999999999999,50.0
126,-7.199999999999999,50.0
127,-7.199999999999999,50.0
128,-7.199999999999999,50.0
129,-7.199999999999999,50.0
130,-7.199999999999999,50.0
131,-7.199999999999999,50.0
132,-7.199999999999999,50.0
133,-7.199999999999999,50.0
134,-7.199999999999999,50.0
135,-7.199999999999999,50.0
136,-7.199999999999999,50.0
137,-7.199999999999999,50.0
138,-7.199999999999999,50.0
139,-7.199999999999999,50.0
140,-7.199999999999999,50.0
141,-7.199999999999999,50.0
142,-7.199999999999999,50.0
143,-7.199999999999999,50.0
144,-7.199999999999999,50.0
145,-7.199999999999999,50.0
146,-7.199999999999999,50.0
147,-7.199999999999999,50.0
148,-7.199999999999999,50.0
149,-7.199999999999999,50.0
150,-7.199999999999999,50.0
151,-7.3,50.0
152,-7.3,50.0
153,-7.3,50.0
154,-7.3,50.0
155,-7.3,50.0
156,-7.3,50.0
157,-7.3,50.0
158,-7.3,50.0
159,-7.3,50.0
160,-7.3,50.0
161,-7.3,50.0
162,-7.3,50.0
163,-7.3,50.0
164,-7.3,50.0
165,-7.3,50.0
166,-7.3,50.0
167,-7.3,50.0
168,-7.3,50.0
169,-7.3,50.0
170,-7.3,50.0
171,-7.3,50.0
172,-7.3,50.0
173,-7.3,50.0
174,-7.3,50.0
175,-7.3,50.0
176,-7.3,50.0
177,-7.3,50.0
178,-7.3,50.0
179,-7.3,50.0
180,-7.3,50.0
181,-7.3,50.0
182,-7.3,50.0
183,-7.3,50.0
184,-7.3,50.0
185,-7.3,50.0
186,-7.3,50.0
187,-7.3,50.0
188,-7.3,50.0
189,-7.3,50.0
190,-7.3,50.0
191,-7.3,50.0
192,-7.3,50.0
193,-7.3,50.0
194,-7.3,50.0
195,-7.3,50.0
196,-7.3,50.0
197,-7.3,50.0
198,-7.3,50.0
199,-7.3,50.0
200,-7.3,50.0
201,-7.05,50.0
202,-7.05,50.0
203,-7.05,50.0
204,-7.05,50.0
205,-7.05,50.0
206,-7.05,50.0
207,-7.05,50.0
208,-7.05,50.0
209,-7.05,50.0
210,-7.05,50.0
211,-7.05,50.0
212,-7.05,50.0
213,-7.05,50.0
214,-7.05,50.0
215,-7.05,50.0
216,-7.05,50.0
217,-7.05,50.0
218,-7.05,50.0
219,-7.05,50.0
220,-7.05,50.0
221,-7.05,50.0
222,-7.05,50.0
223,-7.05,50.0
224,-7.05,50.0
225,-7.05,50.0
226,-7.05,50.0
227,-7.05,50.0
228,-7.05,50.0
229,-7.05,50.0
230,-7.05,50.0
231,-7.05,50.0
232,-7.05,50.0
233,-7.05,50.0
234,-7.05,50.0
235,-7.05,50.0
236,-7.05,50.0
237,-7.05,50.0
238,-7.05,50.0
239,-7.05,50.0
240,-7.05,50.0
241,-7.05,50.0
242,-7.05,50.0
243,-7.05,50.0
244,-7.05,50.0
245,-7.05,50.0
246,-7.05,50.0
247,-7.05,50.0
248,-7.05,50.0
249,-7.05,50.0
250,-7.05,50.0
251,-7.0200000000000005,50.0
252,-7.0200000000000005,50.0
253,-7.0200000000000005,50.0
254,-7.0200000000000005,50.0
255,-7.0200000000000005,50.0
256,-7.0200000000000005,50.0
257,-7.0200000000000005,50.0
258,-7.0200000000000005,50.0
259,-7.0200000000000005,50.0
260,-7.0200000000000005,50.0
261,-7.0200000000000005,50.0
262,-7.0200000000000005,50.0
263,-7.0200000000000005,50.0
264,-7.0200000000000005,50.0
265,-7.0200000000000005,50.0
266,-7.0200000000000005,50.0
267,-7.0200000000000005,50.0
268,-7.0200000000000005,50.0
269,-7.0200000000000005,50.0
270,-7.0200000000000005,50.0
271,-7.0200000000000005,50.0
