timesteps,ep_rew_mean,ep_len_mean
2048,-7.379999999999998,50.0
4096,-7.034999999999998,50.0
6144,-7.094999999999999,50.0
8192,-6.689999999999998,50.0
10240,-7.214999999999999,50.0
12288,-6.9899999999999975,50.0
14336,-7.124999999999998,50.0
16384,-6.885,50.0
18432,-6.869999999999999,50.0
20480,-6.659999999999999,50.0
22528,-6.4499999999999975,50.0
24576,-5.969999999999999,50.0
26624,-6.659999999999999,50.0
28672,-6.4049999999999985,50.0
30720,-5.909999999999998,50.0
32768,-5.294999999999999,50.0
34816,-5.834999999999998,50.0
36864,-5.789999999999998,50.0
38912,-6.149999999999999,50.0
40960,-5.4449999999999985,50.0
43008,-5.744999999999999,50.0
45056,-5.129999999999998,50.0
47104,-6.089999999999998,50.0
49152,-6.149999999999998,50.0
51200,-6.314999999999999,50.0
53248,-5.759999999999998,50.0
55296,-5.687499999999998,50.125
57344,-5.129999999999998,50.0
59392,-6.389999999999999,50.0
61440,-5.989999999999999,50.1
63488,-5.084999999999998,50.0
65536,-6.239999999999998,50.0
67584,-5.879999999999998,50.0
69632,-5.6549999999999985,50.0
71680,-5.909999999999998,50.0
73728,-5.834999999999998,50.0
75776,-6.149999999999999,50.0
77824,-6.104999999999999,50.0
79872,-4.304999999999999,50.0
81920,-4.717073170731706,49.73170731707317
83968,-5.249999999999998,50.0
86016,-5.8199999999999985,50.0
88064,-5.294999999999999,50.0
90112,-6.119999999999999,50.0
92160,-5.834999999999998,50.0
94208,-5.354999999999999,50.0
96256,-5.447499999999998,50.125
98304,-5.879999999999998,50.0
100352,-6.164999999999999,50.0
102400,-5.249999999999998,50.0
104448,-5.547499999999998,50.025
106496,-4.514999999999999,50.15
108544,-5.984999999999998,50.0
110592,-6.164999999999997,50.0
112640,-5.999999999999998,50.0
114688,-4.909999999999999,50.25
116736,-5.2799999999999985,50.0
118784,-5.8199999999999985,50.0
120832,-6.104999999999999,50.0
122880,-5.534999999999998,50.0
124928,-5.129999999999998,50.0
126976,-6.104999999999999,50.0
129024,-5.849999999999999,50.0
131072,-5.572499999999998,50.075
133120,-6.149999999999999,50.0
135168,-5.834999999999999,50.0
137216,-5.594999999999999,50.0
139264,-5.504999999999999,50.0
141312,-5.2799999999999985,50.0
143360,-6.014999999999999,50.0
145408,-5.699999999999998,50.0
147456,-5.939999999999999,50.0
149504,-6.014999999999999,50.0
151552,-5.594999999999998,50.0
153600,-5.1899999999999995,50.0
155648,-5.6549999999999985,50.0
157696,-5.834999999999998,50.0
159744,-5.099999999999999,50.0
161792,-6.224999999999998,50.0
163840,-6.254999999999998,50.0
165888,-5.939999999999999,50.0
167936,-5.489999999999999,50.0
169984,-5.969999999999998,50.0
172032,-5.894999999999999,50.0
174080,-5.609999999999999,50.15
176128,-5.684999999999998,50.0
178176,-6.269999999999999,50.0
180224,-4.214999999999998,50.0
182272,-4.574999999999998,50.0
184320,-5.1899999999999995,50.0
186368,-4.709999999999999,50.0
188416,-5.204999999999998,50.0
190464,-5.969999999999999,50.0
192512,-6.149999999999999,50.0
194560,-6.044999999999999,50.0
196608,-5.849999999999999,50.0
198656,-5.714999999999999,50.0
200704,-4.5299999999999985,50.0
202752,-5.144999999999999,50.0
204800,-6.479999999999999,50.0
